 % the field is all
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.105932E+001  0.105932E+001  0.105932E+001  0.369393E+001  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.407121E+003  0.955249E+001  0.650000E+001 -0.300000E+001 -0.422516E-003  0.255758E-003  0.493894E-003 -0.203612E-003  0.461789E-004  0.208783E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.406685E+003  0.962081E+001  0.660000E+001 -0.300000E+001 -0.456602E-003  0.199672E-003  0.498352E-003 -0.215230E-003 -0.520386E-005  0.215293E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.406254E+003  0.968969E+001  0.670000E+001 -0.300000E+001 -0.483771E-003  0.137429E-003  0.502912E-003 -0.214294E-003 -0.589022E-004  0.222242E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.405830E+003  0.975910E+001  0.680000E+001 -0.300000E+001 -0.502632E-003  0.697934E-004  0.507454E-003 -0.200382E-003 -0.111969E-003  0.229543E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.405412E+003  0.982904E+001  0.690000E+001 -0.300000E+001 -0.511838E-003 -0.212579E-005  0.511842E-003 -0.173744E-003 -0.161391E-003  0.237137E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.405000E+003  0.989949E+001  0.700000E+001 -0.300000E+001 -0.510102E-003 -0.769757E-004  0.515877E-003 -0.135344E-003 -0.204157E-003  0.244945E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.404594E+003  0.997046E+001  0.710000E+001 -0.300000E+001 -0.496560E-003 -0.152923E-003  0.519574E-003 -0.866267E-004 -0.237574E-003  0.252874E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.404193E+003  0.100419E+002  0.720000E+001 -0.300000E+001 -0.470370E-003 -0.227819E-003  0.522637E-003 -0.297821E-004 -0.259286E-003  0.260990E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.403798E+003  0.101139E+002  0.730000E+001 -0.300000E+001 -0.431082E-003 -0.299235E-003  0.524760E-003  0.325877E-004 -0.267349E-003  0.269328E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.403409E+003  0.101863E+002  0.740000E+001 -0.300000E+001 -0.378575E-003 -0.364388E-003  0.525450E-003  0.976010E-004 -0.260294E-003  0.277991E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
