 % the field is uss
 %psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w)
  0.703794E+001  0.163230E+002  0.162000E+002  0.000000E+000  0.337700E-003 -0.841779E-004  0.348033E-003 -0.329045E-002 -0.710920E-003  0.336638E-002
  0.699519E+001  0.164222E+002  0.163000E+002  0.000000E+000 -0.249728E-003 -0.385933E-004  0.252692E-003  0.324208E-002  0.638035E-003  0.330427E-002
  0.695296E+001  0.165215E+002  0.164000E+002  0.000000E+000  0.361910E-003  0.149962E-003  0.391749E-003 -0.333618E-002 -0.550187E-003  0.338124E-002
  0.691123E+001  0.166208E+002  0.165000E+002  0.000000E+000 -0.517832E-003 -0.611112E-004  0.521425E-003  0.345650E-002  0.311942E-003  0.347055E-002
  0.686999E+001  0.167200E+002  0.166000E+002  0.000000E+000  0.505995E-003 -0.124216E-003  0.521019E-003 -0.344011E-002  0.827459E-005  0.344012E-002
  0.682924E+001  0.168193E+002  0.167000E+002  0.000000E+000 -0.357708E-003  0.202111E-003  0.410857E-003  0.329473E-002 -0.245268E-003  0.330385E-002
  0.678897E+001  0.169186E+002  0.168000E+002  0.000000E+000  0.242420E-003 -0.126904E-003  0.273628E-003 -0.316173E-002  0.345882E-003  0.318059E-002
  0.674917E+001  0.170179E+002  0.169000E+002  0.000000E+000 -0.270500E-003  0.149126E-004  0.270911E-003  0.314151E-002 -0.407173E-003  0.316779E-002
  0.670984E+001  0.171172E+002  0.170000E+002  0.000000E+000  0.386397E-003 -0.145130E-004  0.386670E-003 -0.319139E-002  0.553606E-003  0.323906E-002
  0.667095E+001  0.172166E+002  0.171000E+002  0.000000E+000 -0.439074E-003  0.127301E-003  0.457156E-003  0.318973E-002 -0.796482E-003  0.328767E-002
  0.663251E+001  0.173159E+002  0.172000E+002  0.000000E+000  0.382753E-003 -0.236078E-003  0.449703E-003 -0.308018E-002  0.104330E-002  0.325208E-002
  0.659452E+001  0.174152E+002  0.173000E+002  0.000000E+000 -0.270893E-003  0.270186E-003  0.382601E-003  0.290446E-002 -0.120940E-002  0.314620E-002
  0.655695E+001  0.175146E+002  0.174000E+002  0.000000E+000  0.176921E-003 -0.202706E-003  0.269055E-003 -0.275310E-002  0.127422E-002  0.303367E-002
